# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 3.651431e+00 -5.693818e-06 1.055140e-08 1.014286e-03 -1.581616e-09 2.930944e-12
   Mercury 3.301000e+23 5.789949e+10 1.723320e+08 4.805009e-06 -1.425545e+02 4.787000e+04 1.334725e-09
     Venus 4.867000e+24 1.081999e+11 1.260720e+08 1.327551e-08 -4.081953e+01 3.502000e+04 3.687642e-12
     Earth 5.972000e+24 1.495999e+11 1.072076e+08 2.335553e-09 -2.128923e+01 2.977990e+04 6.487646e-13
      Mars 6.417000e+23 2.279000e+11 8.686800e+07 3.782434e-10 -9.200151e+00 2.413000e+04 1.050676e-13
   Jupiter 1.898000e+27 7.785000e+11 4.705167e+07 5.092885e-12 -7.239912e-01 1.306991e+04 1.414690e-15
    Saturn 5.683000e+26 1.433000e+12 3.484793e+07 7.354368e-13 -2.352667e-01 9.679980e+03 2.042880e-16
    Uranus 8.681000e+25 2.877000e+12 2.447996e+07 8.551681e-14 -5.146314e-02 6.799990e+03 2.375467e-17
   Neptune 1.024000e+26 4.503000e+12 1.954791e+07 2.182866e-14 -5.555119e-02 5.429975e+03 6.063516e-18
      Moon 7.342000e+22 1.498091e+11 -2.147662e+08 2.321890e-09 8.357382e+02 3.033689e+04 6.449695e-13
    Phobos 1.070000e+16 2.278928e+11 8.269362e+07 3.782907e-10 5.495001e+01 2.136586e+04 1.050808e-13
    Deimos 1.480000e+15 2.279094e+11 6.590557e+07 3.782173e-10 1.254842e+03 2.468308e+04 1.050604e-13
        Io 8.930000e+22 7.786831e+11 -3.277730e+08 5.090288e-12 1.575472e+04 2.070710e+04 1.413969e-15
    Europa 4.800000e+22 7.790933e+11 -2.627000e+08 5.080907e-12 6.380369e+03 2.528035e+04 1.411363e-15
  Ganymede 1.480000e+23 7.788087e+11 1.070794e+09 5.085358e-12 -1.042425e+04 1.621400e+04 1.412600e-15
  Callisto 1.080000e+23 7.775146e+11 1.650165e+09 5.112897e-12 -6.987310e+03 8.775239e+03 1.420249e-15
     Titan 1.345000e+23 1.433160e+12 -1.176526e+09 7.352215e-13 5.522818e+03 1.040744e+04 2.042282e-16
      Rhea 2.310000e+21 1.432879e+12 5.467998e+08 7.355793e-13 -8.266065e+03 7.723421e+03 2.043276e-16
   Iapetus 1.810000e+21 1.429647e+12 -1.160411e+09 7.408514e-13 1.094340e+03 6.609230e+03 2.057920e-16
     Dione 1.100000e+21 1.432625e+12 5.151182e+07 7.360347e-13 -4.872260e+02 -5.137117e+02 2.044541e-16
    Tethys 6.170000e+20 1.432830e+12 -2.028509e+08 7.357645e-13 9.300430e+03 2.988020e+03 2.043790e-16
 Enceladus 1.080000e+20 1.432815e+12 1.776656e+08 7.356873e-13 -7.698444e+03 -2.982725e+02 2.043576e-16
     Mimas 3.750000e+19 1.432833e+12 -3.053875e+07 7.357340e-13 5.126951e+03 -4.137771e+03 2.043706e-16
